x,y,z,v_x,v_y,v_z,yaw,v_yaw,time
-1.66901587143,5.53957600506,-0.158652739419,1.14709502997,0.517572199444,-0.139893440439,-2.7449147384,0.155815062657,1665724128349791688
-1.70543659149,5.51934161082,-0.155242927278,0.885254763859,0.463492872296,0.080837894428,-2.72720286937,0.127597523593,1665724128596693290
-1.80081963601,5.46359488275,-0.146329188896,0.984747191228,0.566858878375,0.0937637863474,-2.68372319067,0.141324367535,1665724128753086005
-1.85367199032,5.44117889243,-0.145567149098,1.24776985276,0.679934458337,-0.144794479869,-2.66348136809,0.167910829364,1665724128945007310
-1.95468985857,5.40151808751,-0.150872298837,0.905017084966,0.558702453838,0.0599318169042,-2.62693367007,0.137740824352,1665724129331137120
-2.11406352977,5.32795638473,-0.152161105713,1.28722615552,0.874562803535,-0.341870843734,-2.56739173951,0.180935652778,1665724129521033144
-2.19376218411,5.28178998792,-0.143884047142,1.1254543246,0.879481614205,-0.0884786773437,-2.53905355053,0.169717175448,1665724129722897146
-2.26248723888,5.23587581017,-0.147928398651,0.990036187167,0.771722133917,-0.115544192236,-2.5113882507,0.155676190577,1665724129944957184
-2.33366771259,5.19093943324,-0.140851587315,0.955181203281,0.78191309625,0.0181460540091,-2.48066926459,0.156936354696,1665724130007348859
-2.39690101202,5.14351863539,-0.131793586617,1.12082918132,1.05766527751,-0.21562009756,-2.45314674609,0.199651646705,1665724130308142578
-2.47756100103,5.05833577575,-0.140391174575,1.09091081719,1.12465114674,-0.214416410617,-2.41490153926,0.207508640572,1665724130510613857
-2.54760934212,4.99549190477,-0.127274575467,0.918535420414,0.959865873386,0.0921727179314,-2.38178001166,0.17670869297,1665724130723307093
-2.61418378467,4.92701788099,-0.122268011763,1.01279031116,1.06272950569,-0.00894660420111,-2.34134194428,0.21138607226,1665724130916042602
-2.66747194902,4.86394912125,-0.111814338038,0.752993054784,0.951373271113,0.122380317456,-2.30991783645,0.171884560511,1665724131188647893
-2.76159035833,4.72883585883,-0.106809190264,0.61031651633,0.86641714503,-0.0898652552379,-2.25092147521,0.160914733978,1665724131349529216
-2.79205090146,4.67497009942,-0.0972676537452,0.463048580422,0.768162074984,0.123475316096,-2.23053121733,0.137378142743,1665724131713532296
-2.8799855415,4.53740191529,-0.100256733328,0.613720679847,0.8257572519,-0.0994819658337,-2.1692294471,0.159858143309,1665724131986823390
-2.95303138359,4.42349782281,-0.0873699088707,0.594616663976,1.02808363351,0.185620523455,-2.11856739686,0.1924329018,1665724132147201097
